r_f1,r_f2,r_f3,s_f1,s_f2,s_f3
-1.153947885047796,-1.2741787934110027,-2.064047081642041,-1.1660813820149762,-1.174491177451037,-1.9599289052228601
-1.1622778999120607,-0.9677966404517462,-1.6616659285484678,-1.1660813776290744,-1.2229466708829355,-1.9281559481424986
-1.1595323317365782,-1.4932871143015052,-2.061461740072747,-1.1660813688191252,-1.31492373680249,-1.8751711023309667
-1.1697487868543257,-1.1780848424010126,-1.9427399148373166,-1.166081442458332,-1.7837647971197053,-1.6861941605024782
-1.16627795650199,-1.2600312340942748,-1.905235663605882,-1.166081442610841,-1.25291509925051,-1.8949699016731467
-1.155729820489432,-1.9086603154797217,-2.87604881490549,-1.1660814035951705,-1.095625809141185,-2.026879474379324
-1.1629247379248597,-1.006336768510931,-2.5230303516437687,-1.1660814164553917,-0.9249619520727499,-2.4380388959421153
-1.154335389638722,-1.0648143280088136,-2.2838482671808995,-1.1660814131255322,-0.9936413331840905,-2.209512037371797
-1.1580228832232908,-1.1038822145566922,-2.8935295455759484,-1.1660814182470356,-0.8902735435505843,-2.6704271970808247
-1.1534041234895949,-1.458601054581714,-1.5743433591722278,-1.1660813321111885,-1.6227898047294151,-1.7458293713000683
-1.151834294742678,-0.9134946067658282,-2.9182775363803954,-1.1660813821090121,-0.8096023959941807,-2.809767894423268
-1.1645284927845558,-1.8018514290994188,-1.5897721363377704,-1.1660814030563453,-1.8523530006684066,-1.6425182294475025
-1.1636287690530533,-1.223914247238608,-2.107152127463043,-1.1660813871633386,-1.1206254149795323,-1.9992726817056135
-1.1641650958849594,-1.0462305832230339,-2.2439896308121448,-1.1660814128472134,-0.9996700689721603,-2.195359768315837
-1.1552144944364742,-1.1583954952997515,-2.2719899070387006,-1.1660814112556344,-1.028056084273496,-2.135857642153787
-1.1531576200565252,-1.002852614572025,-2.112772326362372,-1.166081411353158,-1.0269650525478675,-2.1379564320707964
-1.159454959570563,-1.7100053568148748,-2.4265596605533153,-1.1660813768475733,-1.229130916073955,-1.9243130369005146
-1.1612498013304422,-1.8043209814955357,-1.7982618993352368,-1.1660813580004619,-1.7241796198585173,-1.7145586987999988
-1.1520816607035607,-1.161529038046443,-1.7134378373357624,-1.1660813687284826,-1.3158887979954321,-1.8746580208289947
-1.1611196207620174,-1.4044184982889445,-1.705546905147063,-1.166081352864034,-1.4887775838338972,-1.793655273124731
-1.1643210798939279,-1.381328302624575,-2.116686611920194,-1.1660813787432802,-1.2091728921368192,-1.9368798519445438
-1.1683496354659861,-1.7854815974175136,-1.8315665209084626,-1.166081442458332,-1.808031467310412,-1.6751818795756495
